4850,4845,4704,5994,6000,5061,5670,1932,873,1005,873,1005,1014,2028,732,843,855,780,465,345
4845,4656,4757,5822,5989,4946,5969,2134,1203,1376,1203,1376,1402,2234,1028,1145,1176,1117,645,506
4704,4757,4443,5833,5717,4963,5405,1896,840,970,840,970,978,1992,701,812,823,747,456,337
5994,5822,5833,7249,7381,6167,7298,2628,1435,1645,1435,1645,1673,2755,1220,1369,1403,1323,776,603
6000,5989,5717,7381,7333,6292,7188,2768,1478,1706,1478,1706,1731,2913,1242,1414,1446,1349,835,642
5061,4946,4963,6167,6292,5224,6221,2331,1303,1498,1303,1498,1523,2449,1103,1243,1274,1200,722,561
5670,5969,5405,7298,7188,6221,7518,4531,3097,3637,3097,3637,3669,4904,2525,2992,3045,2830,2071,1583
1932,2134,1896,2628,2768,2331,4531,7416,6875,8079,6875,8079,7305,3709,1573,1784,1823,1702,1023,785
873,1203,840,1435,1478,1303,3097,6875,6350,7541,6350,7541,6884,3180,1353,1533,1568,1466,886,682
1005,1376,970,1645,1706,1498,3637,8079,7541,8915,7541,8916,8090,3727,1554,1767,1805,1681,1020,781
873,1203,840,1435,1478,1303,3097,6875,6350,7541,6350,7541,6884,3180,1353,1533,1568,1466,886,682
1005,1376,970,1645,1706,1498,3637,8079,7541,8916,7541,8915,8090,3727,1554,1767,1805,1681,1020,781
1014,1402,978,1673,1731,1523,3669,7305,6884,8090,6884,8090,7477,4738,2486,2931,2985,2785,2006,1538
2028,2234,1992,2755,2913,2449,4904,3709,3180,3727,3180,3727,4738,8519,6846,7932,8200,7904,5982,4796
732,1028,701,1220,1242,1103,2525,1573,1353,1554,1353,1554,2486,6846,5586,6697,6826,6513,5243,4083
843,1145,812,1369,1414,1243,2992,1784,1533,1767,1533,1767,2931,7932,6697,7789,8093,7763,6040,4877
855,1176,823,1403,1446,1274,3045,1823,1568,1805,1568,1805,2985,8200,6826,8093,8284,7950,6308,4961
780,1117,747,1323,1349,1200,2830,1702,1466,1681,1466,1681,2785,7904,6513,7763,7950,7588,6078,4776
465,645,456,776,835,722,2071,1023,886,1020,886,1020,2006,5982,5243,6040,6308,6078,4678,3819
345,506,337,603,642,561,1583,785,682,781,682,781,1538,4796,4083,4877,4961,4776,3819,2976
